playerid,yearid,votedby,ballots,needed,votes,inducted,category,needed_note
cobbty01,1936,BBWAA,226,170,222,true,Player,
ruthba01,1936,BBWAA,226,170,215,true,Player,
wagneho01,1936,BBWAA,226,170,215,true,Player,
mathech01,1936,BBWAA,226,170,205,true,Player,
johnswa01,1936,BBWAA,226,170,189,true,Player,
lajoina01,1936,BBWAA,226,170,146,false,Player,
speaktr01,1936,BBWAA,226,170,133,false,Player,
youngcy01,1936,BBWAA,226,170,111,false,Player,
hornsro01,1936,BBWAA,226,170,105,false,Player,
cochrmi01,1936,BBWAA,226,170,80,false,Player,
sislege01,1936,BBWAA,226,170,77,false,Player,
collied01,1936,BBWAA,226,170,60,false,Player,
colliji01,1936,BBWAA,226,170,58,false,Player,
alexape01,1936,BBWAA,226,170,55,false,Player,
gehrilo01,1936,BBWAA,226,170,51,false,Player,
bresnro01,1936,BBWAA,226,170,47,false,Player,
keelewi01,1936,BBWAA,226,170,40,false,Player,
ansonca01,1936,Veterans,78,59,39,false,Player,
ewingbu01,1936,Veterans,78,59,39,false,Player,
keelewi01,1936,Veterans,78,59,33,false,Player,
wadderu01,1936,BBWAA,226,170,33,false,Player,
youngcy01,1936,Veterans,78,59,32,false,Player,
delahed01,1936,Veterans,78,59,21,false,Player,
foxxji01,1936,BBWAA,226,170,21,false,Player,
walshed01,1936,BBWAA,226,170,20,false,Player,
mcgrajo01,1936,Veterans,78,59,17,false,Player,
delahed01,1936,BBWAA,226,170,17,false,Player,
radboch01,1936,Veterans,78,59,16,false,Player,
traynpi01,1936,BBWAA,226,170,16,false,Player,
kellyki01,1936,Veterans,78,59,15,false,Player,
longhe01,1936,Veterans,78,59,15,false,Player,
friscfr01,1936,BBWAA,226,170,14,false,Player,
grovele01,1936,BBWAA,226,170,12,false,Player,
jennihu01,1936,Veterans,78,59,11,false,Player,
rusieam01,1936,Veterans,78,59,11,false,Player,
chaseha01,1936,BBWAA,226,170,11,false,Player,
youngro01,1936,BBWAA,226,170,10,false,Player,
clarkfr01,1936,Veterans,78,59,9,false,Player,
terrybi01,1936,BBWAA,226,170,9,false,Player,
colliji01,1936,Veterans,78,59,8,false,Player,
klingjo01,1936,BBWAA,226,170,8,false,Player,
crigelo01,1936,BBWAA,226,170,7,false,Player,
comisch01,1936,Veterans,78,59,6,false,Player,
dennyje01,1936,Veterans,78,59,6,false,Player,
langebi01,1936,Veterans,78,59,6,false,Player,
robinwi01,1936,Veterans,78,59,6,false,Player,
stoveha01,1936,Veterans,78,59,6,false,Player,
wrighge01,1936,Veterans,78,59,6,false,Player,
brownmo01,1936,BBWAA,226,170,6,false,Player,
eversjo01,1936,BBWAA,226,170,6,false,Player,
clarkjo01,1936,Veterans,78,59,5,false,Player,
wagneho01,1936,Veterans,78,59,5,false,Player,
chancfr01,1936,BBWAA,226,170,5,false,Player,
spaldal01,1936,Veterans,78,59,4,false,Player,
mcgrajo01,1936,BBWAA,226,170,4,false,Player,
schalra01,1936,BBWAA,226,170,4,false,Player,
simmoal01,1936,BBWAA,226,170,4,false,Player,
barnero01,1936,Veterans,78,59,3,false,Player,
bennech01,1936,Veterans,78,59,3,false,Player,
duffyhu01,1936,Veterans,78,59,3,false,Player,
nichoki01,1936,Veterans,78,59,3,false,Player,
wardjo01,1936,Veterans,78,59,3,false,Player,
broutda01,1936,Veterans,78,59,2,false,Player,
dunlafr01,1936,Veterans,78,59,2,false,Player,
glassja01,1936,Veterans,78,59,2,false,Player,
hamilbi01,1936,Veterans,78,59,2,false,Player,
lajoina01,1936,Veterans,78,59,2,false,Player,
willine01,1936,Veterans,78,59,2,false,Player,
bendech01,1936,BBWAA,226,170,2,false,Player,
jacksjo01,1936,BBWAA,226,170,2,false,Player,
roushed01,1936,BBWAA,226,170,2,false,Player,
allisdo01,1936,Veterans,78,59,1,false,Player,
battijo01,1936,Veterans,78,59,1,false,Player,
becklja01,1936,Veterans,78,59,1,false,Player,
bondto01,1936,Veterans,78,59,1,false,Player,
burkeje01,1936,Veterans,78,59,1,false,Player,
crigelo01,1936,Veterans,78,59,1,false,Player,
dahlebi01,1936,Veterans,78,59,1,false,Player,
daubeja01,1936,Veterans,78,59,1,false,Player,
doyleja01,1936,Veterans,78,59,1,false,Player,
keefeti01,1936,Veterans,78,59,1,false,Player,
kilroma01,1936,Veterans,78,59,1,false,Player,
lathaar01,1936,Veterans,78,59,1,false,Player,
lowebo01,1936,Veterans,78,59,1,false,Player,
mcaleji01,1936,Veterans,78,59,1,false,Player,
mccarto01,1936,Veterans,78,59,1,false,Player,
mcveyca01,1936,Veterans,78,59,1,false,Player,
paborch01,1936,Veterans,78,59,1,false,Player,
pikeli01,1936,Veterans,78,59,1,false,Player,
remseja01,1936,Veterans,78,59,1,false,Player,
richaha01,1936,Veterans,78,59,1,false,Player,
tennefr02,1936,Veterans,78,59,1,false,Player,
vanhage01,1936,Veterans,78,59,1,false,Player,
wallabo01,1936,Veterans,78,59,1,false,Player,
whitede01,1936,Veterans,78,59,1,false,Player,
bakerfr01,1936,BBWAA,226,170,1,false,Player,
bradlbi01,1936,BBWAA,226,170,1,false,Player,
clarkfr01,1936,BBWAA,226,170,1,false,Player,
crawfsa01,1936,BBWAA,226,170,1,false,Player,
elberki01,1936,BBWAA,226,170,1,false,Player,
mackco01,1936,BBWAA,226,170,1,false,Player,
marquru01,1936,BBWAA,226,170,1,false,Player,
ruckena01,1936,BBWAA,226,170,1,false,Player,
vanceda01,1936,BBWAA,226,170,1,false,Player,
cummica01,1936,Veterans,78,59,0,false,Player,
flintsi01,1936,Veterans,78,59,0,false,Player,
richmle01,1936,Veterans,78,59,0,false,Player,
gehrich01,1936,BBWAA,226,170,0,false,Player,
hartnga01,1936,BBWAA,226,170,0,false,Player,
sullibi03,1936,BBWAA,226,170,0,false,Player,
lajoina01,1937,BBWAA,201,151,168,true,Player,
speaktr01,1937,BBWAA,201,151,165,true,Player,
youngcy01,1937,BBWAA,201,151,153,true,Player,
alexape01,1937,BBWAA,201,151,125,false,Player,
collied01,1937,BBWAA,201,151,115,false,Player,
keelewi01,1937,BBWAA,201,151,115,false,Player,
sislege01,1937,BBWAA,201,151,106,false,Player,
delahed01,1937,BBWAA,201,151,70,false,Player,
wadderu01,1937,BBWAA,201,151,67,false,Player,
colliji01,1937,BBWAA,201,151,66,false,Player,
walshed01,1937,BBWAA,201,151,56,false,Player,
hornsro01,1937,BBWAA,201,151,53,false,Player,
chancfr01,1937,BBWAA,201,151,49,false,Player,
eversjo01,1937,BBWAA,201,151,44,false,Player,
bresnro01,1937,BBWAA,201,151,43,false,Player,
brownmo01,1937,BBWAA,201,151,31,false,Player,
maranra01,1937,BBWAA,201,151,25,false,Player,
schalra01,1937,BBWAA,201,151,24,false,Player,
planked01,1937,BBWAA,201,151,23,false,Player,
clarkfr01,1937,BBWAA,201,151,22,false,Player,
klingjo01,1937,BBWAA,201,151,20,false,Player,
chaseha01,1937,BBWAA,201,151,18,false,Player,
bendech01,1937,BBWAA,201,151,17,false,Player,
crigelo01,1937,BBWAA,201,151,16,false,Player,
youngro01,1937,BBWAA,201,151,16,false,Player,
pennohe01,1937,BBWAA,201,151,15,false,Player,
